name,type,description
Formaldéhyde PD,Solvant,Utilisé pour le nettoyage chimique.
Phénol YU,Acide fort,Essentiel pour l'industrie pharmaceutique.
Acétone LG,Oxydant,Employé comme désinfectant.
Formaldéhyde II,Réducteur,Participe à la neutralisation des acides.
Ammoniac WG,Alcool,Produit de base pour les plastiques.
Acide chlorhydrique YB,Base forte,Essentiel pour l'industrie pharmaceutique.
Acétone NH,Sel,Employé comme désinfectant.
Phénol PJ,Base forte,Composé essentiel en laboratoire.
Acide chlorhydrique UH,Agent chélatant,Produit de base pour les plastiques.
Acide chlorhydrique QL,Agent chélatant,Essentiel pour l'industrie pharmaceutique.
Éthanol OW,Base forte,Participe à la neutralisation des acides.
Chloroforme EJ,Réducteur,Essentiel pour l'industrie pharmaceutique.
Carbonate de calcium QC,Oxydant,Utilisé pour le nettoyage chimique.
Acide chlorhydrique EX,Réducteur,Présent dans les processus de synthèse.
Toluène GF,Oxydant,Agent de blanchiment industriel.
Acide citrique IY,Sel,Participe à la neutralisation des acides.
Bicarbonate de sodium YT,Réducteur,Composé essentiel en laboratoire.
Bicarbonate de sodium GK,Base forte,Produit de base pour les plastiques.
Acide chlorhydrique FH,Alcool,Composé essentiel en laboratoire.
Acide citrique NT,Solvant,Produit de base pour les plastiques.
Xylène VE,Alcool,Présent dans les processus de synthèse.
Acétone DT,Sel,Utilisé dans la fabrication d'engrais.
Bicarbonate de sodium NF,Agent chélatant,Essentiel pour l'industrie pharmaceutique.
Bicarbonate de sodium MU,Alcool,Solvant industriel commun.
Acide chlorhydrique IC,Solvant,Composé essentiel en laboratoire.
Acétone XN,Agent chélatant,Produit de base pour les plastiques.
Peroxyde d'hydrogène WR,Acide fort,Produit de base pour les plastiques.
Formaldéhyde GW,Réducteur,Produit de base pour les plastiques.
Carbonate de calcium DO,Alcool,Solvant industriel commun.
Acétone NT,Acide fort,Utilisé dans la fabrication d'engrais.
Hydroxyde de sodium TF,Acide fort,Composé essentiel en laboratoire.
Formaldéhyde UU,Composé inorganique,Agent de blanchiment industriel.
Toluène ZM,Composé organique,Solvant industriel commun.
Chloroforme XY,Solvant,Utilisé dans la fabrication d'engrais.
Acide chlorhydrique AB,Base forte,Utilisé dans la fabrication d'engrais.
Acide chlorhydrique XN,Oxydant,Utilisé dans la fabrication d'engrais.
Chlorure de sodium JL,Acide fort,Participe à la neutralisation des acides.
Peroxyde d'hydrogène RL,Alcool,Solvant industriel commun.
Peroxyde d'hydrogène LF,Agent chélatant,Produit de base pour les plastiques.
Bicarbonate de sodium LV,Acide fort,Solvant industriel commun.
Phénol VT,Acide fort,Employé comme désinfectant.
Acide nitrique NI,Composé inorganique,Produit de base pour les plastiques.
Acide sulfurique KJ,Solvant,Agent de blanchiment industriel.
Chlorure de sodium QN,Alcool,Solvant industriel commun.
Chloroforme AR,Composé organique,Agent de blanchiment industriel.
Bicarbonate de sodium YC,Composé organique,Produit de base pour les plastiques.
Acide acétique WI,Oxydant,Solvant industriel commun.
Sulfate de cuivre HU,Base forte,Utilisé dans la fabrication d'engrais.
Toluène ML,Composé organique,Agent de blanchiment industriel.
Acide nitrique ED,Composé inorganique,Participe à la neutralisation des acides.
Phénol KE,Alcool,Agent de blanchiment industriel.
Chloroforme MY,Sel,Employé comme désinfectant.
Carbonate de calcium LL,Solvant,Employé comme désinfectant.
Méthanol CT,Solvant,Solvant industriel commun.
Acétone WB,Composé organique,Employé comme désinfectant.
Chlorure de sodium GE,Base forte,Composé essentiel en laboratoire.
Méthanol DW,Composé inorganique,Produit de base pour les plastiques.
Ammoniac EO,Sel,Utilisé pour le nettoyage chimique.
Ammoniac ZA,Alcool,Agent de blanchiment industriel.
Chloroforme HY,Composé organique,Produit de base pour les plastiques.
Formaldéhyde WM,Acide fort,Essentiel pour l'industrie pharmaceutique.
Peroxyde d'hydrogène NJ,Base forte,Essentiel pour l'industrie pharmaceutique.
Bicarbonate de sodium CH,Acide fort,Agent de blanchiment industriel.
Carbonate de calcium LI,Composé organique,Employé comme désinfectant.
Hydroxyde de sodium JZ,Réducteur,Utilisé dans la fabrication d'engrais.
Méthanol GH,Composé inorganique,Composé essentiel en laboratoire.
Acide chlorhydrique BK,Base forte,Présent dans les processus de synthèse.
Toluène ST,Composé organique,Essentiel pour l'industrie pharmaceutique.
Acide acétique RW,Réducteur,Solvant industriel commun.
Acide citrique AR,Oxydant,Employé comme désinfectant.
Acide acétique FZ,Réducteur,Composé essentiel en laboratoire.
Sulfate de cuivre IU,Composé organique,Participe à la neutralisation des acides.
Hydroxyde de sodium XG,Oxydant,Présent dans les processus de synthèse.
Éthanol QU,Alcool,Utilisé pour le nettoyage chimique.
Xylène IU,Oxydant,Utilisé dans la fabrication d'engrais.
Acide sulfurique AO,Agent chélatant,Solvant industriel commun.
Acide citrique XS,Acide fort,Utilisé pour le nettoyage chimique.
Formaldéhyde VC,Solvant,Employé comme désinfectant.
Phénol LQ,Composé organique,Participe à la neutralisation des acides.
Phénol EE,Agent chélatant,Composé essentiel en laboratoire.
Méthanol MH,Composé organique,Utilisé dans la fabrication d'engrais.
Acide sulfurique RT,Composé inorganique,Solvant industriel commun.
Phénol SP,Sel,Essentiel pour l'industrie pharmaceutique.
Acide chlorhydrique NG,Oxydant,Utilisé dans la fabrication d'engrais.
Chlorure de sodium UB,Composé inorganique,Essentiel pour l'industrie pharmaceutique.
Toluène TD,Agent chélatant,Utilisé pour le nettoyage chimique.
Éthanol MP,Acide fort,Participe à la neutralisation des acides.
Phénol XH,Oxydant,Essentiel pour l'industrie pharmaceutique.
Chloroforme KP,Acide fort,Participe à la neutralisation des acides.
Toluène RE,Oxydant,Composé essentiel en laboratoire.
Acide nitrique QU,Base forte,Présent dans les processus de synthèse.
Acide chlorhydrique YH,Agent chélatant,Utilisé pour le nettoyage chimique.
Acide sulfurique JC,Sel,Employé comme désinfectant.
Formaldéhyde MV,Solvant,Utilisé dans la fabrication d'engrais.
Formaldéhyde OL,Alcool,Participe à la neutralisation des acides.
Carbonate de calcium JU,Réducteur,Employé comme désinfectant.
Xylène MS,Oxydant,Solvant industriel commun.
Chloroforme MI,Oxydant,Agent de blanchiment industriel.
Carbonate de calcium KK,Composé organique,Utilisé dans la fabrication d'engrais.
Peroxyde d'hydrogène AI,Alcool,Composé essentiel en laboratoire.
